20250130175112
2025-01-30 17:52:21.310 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] Commander LLM query runtime error
2025-01-30 17:52:21.310 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] Commander Error when calling the OpenAI API: Commander LLM query runtime error
2025-01-30 17:52:21.626 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup1 LLM query runtime error
2025-01-30 17:52:21.626 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup1 Error when calling the OpenAI API: CombatGroup1 LLM query runtime error
2025-01-30 17:52:22.050 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup3 LLM query runtime error
2025-01-30 17:52:22.050 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup3 Error when calling the OpenAI API: CombatGroup3 LLM query runtime error
2025-01-30 17:52:22.165 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup6 LLM query runtime error
2025-01-30 17:52:22.165 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup6 Error when calling the OpenAI API: CombatGroup6 LLM query runtime error
2025-01-30 17:53:22.399 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] Commander LLM query runtime error
2025-01-30 17:53:22.399 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] Commander Error when calling the OpenAI API: Commander LLM query runtime error
2025-01-30 17:53:23.339 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup1 LLM query runtime error
2025-01-30 17:53:23.339 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup1 Error when calling the OpenAI API: CombatGroup1 LLM query runtime error
2025-01-30 17:53:23.370 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup3 LLM query runtime error
2025-01-30 17:53:23.373 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup3 Error when calling the OpenAI API: CombatGroup3 LLM query runtime error
2025-01-30 17:53:24.181 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup6 LLM query runtime error
2025-01-30 17:53:24.181 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup6 Error when calling the OpenAI API: CombatGroup6 LLM query runtime error
2025-01-30 17:54:25.261 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] Commander LLM query runtime error
2025-01-30 17:54:25.261 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] Commander Error when calling the OpenAI API: Commander LLM query runtime error
2025-01-30 17:54:25.494 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup1 LLM query runtime error
2025-01-30 17:54:25.494 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup1 Error when calling the OpenAI API: CombatGroup1 LLM query runtime error
2025-01-30 17:54:25.964 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup3 LLM query runtime error
2025-01-30 17:54:25.964 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup3 Error when calling the OpenAI API: CombatGroup3 LLM query runtime error
2025-01-30 17:54:27.113 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup6 LLM query runtime error
2025-01-30 17:54:27.113 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup6 Error when calling the OpenAI API: CombatGroup6 LLM query runtime error
2025-01-30 17:55:30.308 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] Commander LLM query runtime error
2025-01-30 17:55:30.308 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] Commander Error when calling the OpenAI API: Commander LLM query runtime error
2025-01-30 17:55:30.465 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup1 LLM query runtime error
2025-01-30 17:55:30.465 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup1 Error when calling the OpenAI API: CombatGroup1 LLM query runtime error
2025-01-30 17:55:30.986 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup3 LLM query runtime error
2025-01-30 17:55:30.986 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup3 Error when calling the OpenAI API: CombatGroup3 LLM query runtime error
2025-01-30 17:55:31.510 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup6 LLM query runtime error
2025-01-30 17:55:31.510 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup6 Error when calling the OpenAI API: CombatGroup6 LLM query runtime error
2025-01-30 17:56:38.960 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup1 LLM query runtime error
2025-01-30 17:56:38.960 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] CombatGroup1 Error when calling the OpenAI API: CombatGroup1 LLM query runtime error
2025-01-30 17:56:38.962 | ERROR    | llm_pysc2.lib.llm_client:query:206 - [ID 1] CombatGroup1 Maximum number of retries reached. The OpenAI API is not responding.
2025-01-30 17:56:39.024 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] Commander LLM query runtime error
2025-01-30 17:56:39.024 | ERROR    | llm_pysc2.lib.llm_client:query:201 - [ID 1] Commander Error when calling the OpenAI API: Commander LLM query runtime error
2025-01-30 17:56:39.026 | ERROR    | llm_pysc2.lib.llm_client:query:206 - [ID 1] Commander Maximum number of retries reached. The OpenAI API is not responding.
2025-01-30 17:56:39.589 | ERROR    | llm_pysc2.lib.llm_client:query:180 - [ID 1] CombatGroup3 LLM query runtime error
